BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEY8723	2	Cecidomyiidae	2	T
BOLD:AEY8724	4	Clusiidae	1	T
BOLD:AEY8724	4	Diptera	3	T
BOLD:AEY8767	6	Hymenoptera	4	T
BOLD:AEY8767	6	Pompilidae	2	T
BOLD:AEY8985	10	Syrphidae	10	T
BOLD:AEY9003	1	Entomobryomorpha	1	T
BOLD:AEY9037	3	Bethylidae	1	T
BOLD:AEY9037	3	Hymenoptera	2	T
BOLD:AEY9069	3	Sciaridae	3	T
BOLD:AEY9099	1	Ceratopogonidae	1	T
BOLD:AEY9100	3	Cecidomyiidae	3	T
BOLD:AEY9112	1	Collembola	1	T
BOLD:AEY9278	1	Tachinidae	1	T
BOLD:AEY9359	8	Diptera	6	T
BOLD:AEY9359	8	Hybotidae	2	T
BOLD:AEY9370	1	Geotrupidae	1	T
BOLD:AEY9411	4	Crabronidae	1	T
BOLD:AEY9411	4	Trypoxylon	3	T
BOLD:AEY9578	1	Rhyparochromidae	1	T
BOLD:AEY9596	1	Thynnidae	1	T
BOLD:AEY9720	1	Tettigoniidae	1	T
BOLD:AEY9753	1	Aleyrodinae	1	T
BOLD:AEY9782	1	Vespidae	1	T
BOLD:AEY9786	2	Bethylidae	2	T
BOLD:AEY9940	1	Cecidomyiidae	1	T
BOLD:AEY9994	1	Reduviidae	1	T
BOLD:AEZ0040	1	Opiinae	1	T
BOLD:AEZ0041	1	Scelionidae	1	T
BOLD:AEZ0043	1	Eupelminae	1	T
BOLD:AEZ0101	1	Cecidomyiidae	1	T
BOLD:AEZ0184	1	Bethylidae	1	T
